Radar Type,Detection Type,Missile Type,Aircraft Type,Drone Type,Threat Level,Altitude,Speed,Distance From Target,Heading,Radar Signature,Detection Status,Target Class
Medium-Range,Active,Surface-to-Air Missile,Bombers,Quadcopter,High,19760.88,528.97,94.34,163.72,0.5,1,Quadcopter
Short-Range,Active,Ballistic Missile,Drones,Quadcopter,Medium,2590.18,1029.2,490.2,87.62,0.49,0,None
Medium-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Quadcopter,High,11658.3,224.52,408.54,152.04,0.54,1,Quadcopter
Long-Range,Active,Anti-Air Missile,Bombers,Hybrid Drone,Medium,13856.21,391.61,160.43,178.28,0.95,1,Bombers
Short-Range,Passive,Surface-to-Air Missile,Bombers,Fixed-Wing,Low,10651.78,1347.94,311.25,230.87,0.37,0,None
Long-Range,Passive,Cruise Missile,Passenger Aircraft,Quadcopter,High,9718.35,1307.68,213.8,216.59,0.0,1,Cruise Missile
Short-Range,Hybrid,Anti-Air Missile,Fighter Jet,Quadcopter,Low,15640.69,1139.08,459.29,111.96,0.31,1,Fighter Jet
Long-Range,Active,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,Medium,19330.07,955.09,245.56,144.74,0.18,1,Hybrid Drone
Short-Range,Hybrid,Ballistic Missile,Helicopter,Hybrid Drone,High,5763.18,568.12,51.93,187.89,0.83,0,None
Short-Range,Hybrid,Cruise Missile,Helicopter,Quadcopter,High,4246.85,638.13,145.96,262.74,0.76,1,Helicopter
Medium-Range,Passive,Anti-Air Missile,Fighter Jet,Fixed-Wing,High,8586.71,978.94,340.06,240.18,0.56,1,Fighter Jet
Long-Range,Hybrid,Cruise Missile,Fighter Jet,Fixed-Wing,Medium,15431.47,471.57,252.37,199.2,0.81,0,None
Medium-Range,Active,Ballistic Missile,Helicopter,Hybrid Drone,Medium,1297.35,386.41,297.63,188.85,0.17,1,Hybrid Drone
Short-Range,Hybrid,Cruise Missile,Bombers,Fixed-Wing,High,17537.91,321.12,202.37,98.63,0.33,0,None
Medium-Range,Passive,Cruise Missile,Drones,Hybrid Drone,High,13854.09,745.87,219.4,43.85,0.05,1,Cruise Missile
Medium-Range,Active,Cruise Missile,Fighter Jet,Hybrid Drone,Medium,19261.13,1482.54,95.83,3.53,0.39,0,None
Long-Range,Hybrid,Surface-to-Air Missile,Helicopter,Hybrid Drone,Low,702.16,700.14,238.17,210.83,0.47,1,Hybrid Drone
Long-Range,Hybrid,Ballistic Missile,Drones,Quadcopter,High,8984.01,1492.15,111.05,300.35,0.61,1,Ballistic Missile
Long-Range,Hybrid,Anti-Air Missile,Fighter Jet,Quadcopter,Medium,12738.56,1172.6,146.13,338.53,0.27,1,Anti-Air Missile
Medium-Range,Active,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,High,6850.0,1130.86,148.38,113.89,0.26,1,Surface-to-Air Missile
Short-Range,Hybrid,Ballistic Missile,Helicopter,Quadcopter,Low,13587.38,743.31,317.95,131.57,0.94,1,Helicopter
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Quadcopter,Low,8678.52,973.77,394.26,258.8,0.64,1,Quadcopter
Medium-Range,Hybrid,Ballistic Missile,Helicopter,Quadcopter,High,19688.94,820.17,363.98,313.39,0.27,1,Helicopter
Long-Range,Passive,Surface-to-Air Missile,Drones,Hybrid Drone,High,6171.2,480.72,229.98,221.92,0.78,1,Drones
Long-Range,Active,Ballistic Missile,Bombers,Fixed-Wing,Low,6478.91,1229.76,442.29,352.56,0.69,1,Fixed-Wing
Long-Range,Active,Anti-Air Missile,Fighter Jet,Hybrid Drone,Low,13155.01,355.95,111.97,74.35,0.32,0,None
Short-Range,Active,Anti-Air Missile,Bombers,Fixed-Wing,Medium,19669.19,1442.65,279.25,242.88,0.07,1,Fixed-Wing
Short-Range,Passive,Anti-Air Missile,Drones,Fixed-Wing,Low,2321.34,666.63,293.35,144.61,0.0,1,Anti-Air Missile
Medium-Range,Passive,Cruise Missile,Passenger Aircraft,Quadcopter,Low,4256.88,317.76,64.98,24.35,0.86,0,None
Medium-Range,Active,Surface-to-Air Missile,Bombers,Hybrid Drone,Low,4504.25,296.02,280.82,321.5,0.68,1,Surface-to-Air Missile
Short-Range,Active,Cruise Missile,Drones,Fixed-Wing,High,19510.12,546.83,72.62,150.05,0.03,1,Drones
Long-Range,Active,Anti-Air Missile,Bombers,Fixed-Wing,High,6321.5,675.35,91.81,37.73,0.68,1,Bombers
Medium-Range,Active,Ballistic Missile,Fighter Jet,Fixed-Wing,High,7838.2,749.87,340.51,158.85,0.76,1,Fighter Jet
Long-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Medium,11020.28,343.45,90.73,96.99,0.5,0,None
Medium-Range,Hybrid,Cruise Missile,Drones,Hybrid Drone,Medium,7808.29,1369.74,419.84,296.48,0.16,1,Hybrid Drone
Long-Range,Active,Cruise Missile,Passenger Aircraft,Quadcopter,Medium,14277.13,318.81,100.13,270.35,0.41,1,Cruise Missile
Long-Range,Passive,Ballistic Missile,Drones,Quadcopter,High,5666.55,1355.3,440.22,95.49,0.84,1,Ballistic Missile
Long-Range,Passive,Cruise Missile,Drones,Quadcopter,Low,7702.72,376.81,89.1,244.98,0.99,1,Quadcopter
Short-Range,Active,Anti-Air Missile,Fighter Jet,Hybrid Drone,Medium,15470.71,524.85,250.77,357.82,0.61,1,Hybrid Drone
Short-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,Medium,18648.88,762.96,363.63,317.39,0.25,1,Passenger Aircraft
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Fixed-Wing,Low,9173.71,466.61,182.04,82.01,0.45,1,Fixed-Wing
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Quadcopter,Low,6361.14,1415.75,483.47,200.27,0.52,1,Passenger Aircraft
Long-Range,Active,Ballistic Missile,Fighter Jet,Fixed-Wing,Medium,6871.43,220.09,152.33,141.44,0.47,1,Fixed-Wing
Medium-Range,Passive,Surface-to-Air Missile,Bombers,Hybrid Drone,Low,13100.83,1295.22,430.81,315.24,0.49,1,Hybrid Drone
Short-Range,Active,Anti-Air Missile,Helicopter,Fixed-Wing,Low,10050.98,1013.19,307.33,182.34,0.9,1,Anti-Air Missile
Medium-Range,Active,Surface-to-Air Missile,Drones,Fixed-Wing,High,5848.63,1081.36,200.45,302.64,0.24,1,Surface-to-Air Missile
Short-Range,Active,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,High,18154.97,1398.89,313.07,142.23,0.34,1,Hybrid Drone
Long-Range,Passive,Surface-to-Air Missile,Drones,Quadcopter,Low,3970.43,450.26,147.42,246.71,0.87,1,Surface-to-Air Missile
Medium-Range,Passive,Cruise Missile,Helicopter,Quadcopter,Low,9038.4,1271.98,301.01,355.45,0.31,1,Helicopter
Short-Range,Passive,Ballistic Missile,Helicopter,Hybrid Drone,High,13263.52,1134.18,118.34,220.14,0.26,1,Helicopter
Long-Range,Hybrid,Anti-Air Missile,Drones,Fixed-Wing,Low,9603.35,1093.13,121.21,117.2,0.74,1,Anti-Air Missile
Short-Range,Passive,Cruise Missile,Bombers,Hybrid Drone,High,17857.93,1166.41,471.62,24.31,0.02,1,Cruise Missile
Long-Range,Active,Surface-to-Air Missile,Fighter Jet,Quadcopter,High,4158.2,1267.61,167.87,121.58,0.17,1,Quadcopter
Long-Range,Passive,Ballistic Missile,Fighter Jet,Quadcopter,Medium,3669.63,1198.19,471.44,24.57,0.89,1,Quadcopter
Medium-Range,Passive,Surface-to-Air Missile,Bombers,Hybrid Drone,High,7359.0,1059.78,481.82,302.57,0.16,1,Surface-to-Air Missile
Short-Range,Active,Cruise Missile,Drones,Hybrid Drone,High,3476.36,767.44,282.95,31.76,0.76,1,Hybrid Drone
Medium-Range,Active,Surface-to-Air Missile,Helicopter,Quadcopter,High,13692.11,960.0,268.73,66.2,0.51,0,None
Short-Range,Passive,Cruise Missile,Bombers,Hybrid Drone,High,17271.81,1419.18,466.59,180.53,0.53,1,Cruise Missile
Short-Range,Passive,Surface-to-Air Missile,Fighter Jet,Quadcopter,Medium,4488.3,1173.75,277.61,188.65,0.11,1,Surface-to-Air Missile
Long-Range,Passive,Ballistic Missile,Bombers,Quadcopter,Low,15551.64,675.86,139.33,279.88,0.29,0,None
Medium-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,14199.42,1077.46,485.88,115.58,0.79,1,Passenger Aircraft
Short-Range,Hybrid,Cruise Missile,Passenger Aircraft,Fixed-Wing,Low,16171.85,892.63,269.19,55.57,0.5,1,Passenger Aircraft
Medium-Range,Passive,Ballistic Missile,Passenger Aircraft,Fixed-Wing,High,2615.0,1421.56,204.33,161.47,0.64,1,Fixed-Wing
Short-Range,Active,Ballistic Missile,Drones,Fixed-Wing,Low,8855.94,626.26,191.48,117.89,0.96,0,None
Long-Range,Passive,Ballistic Missile,Drones,Quadcopter,Low,15273.99,936.41,339.96,209.46,0.2,0,None
Short-Range,Hybrid,Cruise Missile,Helicopter,Hybrid Drone,Medium,13771.88,575.95,386.59,126.1,0.31,1,Helicopter
Medium-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,High,5708.39,1204.31,204.14,53.78,0.87,1,Anti-Air Missile
Long-Range,Active,Cruise Missile,Helicopter,Hybrid Drone,High,16069.81,514.63,470.88,9.44,0.97,1,Cruise Missile
Medium-Range,Hybrid,Surface-to-Air Missile,Drones,Quadcopter,Low,11204.68,1194.71,417.55,313.34,0.48,1,Drones
Medium-Range,Hybrid,Surface-to-Air Missile,Drones,Fixed-Wing,Low,12314.49,1189.45,118.74,67.37,0.25,1,Drones
Short-Range,Active,Anti-Air Missile,Helicopter,Hybrid Drone,Medium,2678.23,851.77,212.96,102.63,0.06,1,Hybrid Drone
Medium-Range,Passive,Anti-Air Missile,Bombers,Fixed-Wing,Medium,19359.61,707.86,120.84,306.89,0.59,1,Anti-Air Missile
Medium-Range,Active,Anti-Air Missile,Fighter Jet,Fixed-Wing,High,11359.38,1023.56,496.09,242.12,0.98,1,Anti-Air Missile
Short-Range,Passive,Cruise Missile,Helicopter,Hybrid Drone,Medium,12940.18,576.87,127.01,83.48,0.72,1,Cruise Missile
Medium-Range,Passive,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,13935.74,439.64,202.57,90.6,0.37,1,Cruise Missile
Short-Range,Hybrid,Cruise Missile,Helicopter,Fixed-Wing,Medium,18711.69,942.41,109.55,336.19,0.53,1,Cruise Missile
Long-Range,Active,Ballistic Missile,Fighter Jet,Hybrid Drone,Medium,1566.46,831.93,436.25,267.22,0.44,1,Fighter Jet
Long-Range,Active,Surface-to-Air Missile,Drones,Fixed-Wing,Medium,11387.19,442.44,288.17,87.89,0.04,1,Fixed-Wing
Short-Range,Active,Cruise Missile,Fighter Jet,Hybrid Drone,High,7250.78,454.42,198.38,355.61,0.17,1,Cruise Missile
Medium-Range,Passive,Surface-to-Air Missile,Drones,Hybrid Drone,Medium,19335.9,346.02,214.96,344.02,0.75,1,Drones
Medium-Range,Passive,Anti-Air Missile,Helicopter,Fixed-Wing,Low,1262.2,554.68,477.28,236.21,0.8,1,Helicopter
Short-Range,Hybrid,Cruise Missile,Passenger Aircraft,Hybrid Drone,Medium,5905.06,1007.73,191.67,225.65,0.97,0,None
Short-Range,Passive,Ballistic Missile,Passenger Aircraft,Quadcopter,Medium,14546.95,1490.48,178.81,349.09,0.72,1,Quadcopter
Long-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Hybrid Drone,Medium,9158.22,1265.9,131.0,231.13,0.36,0,None
Long-Range,Active,Anti-Air Missile,Passenger Aircraft,Hybrid Drone,Low,9899.3,1318.59,377.55,81.65,0.51,0,None
Short-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Fixed-Wing,High,10686.39,1330.88,168.47,344.11,0.65,1,Ballistic Missile
Long-Range,Active,Anti-Air Missile,Fighter Jet,Quadcopter,Medium,7176.32,614.95,294.61,351.59,0.34,1,Anti-Air Missile
Long-Range,Active,Anti-Air Missile,Helicopter,Quadcopter,Low,17796.67,213.74,443.33,109.55,0.77,1,Helicopter
Long-Range,Hybrid,Surface-to-Air Missile,Passenger Aircraft,Hybrid Drone,Low,10659.42,708.52,427.8,111.41,0.2,1,Passenger Aircraft
Medium-Range,Passive,Ballistic Missile,Helicopter,Quadcopter,High,5626.7,1333.54,373.84,321.16,0.27,1,Ballistic Missile
Short-Range,Passive,Ballistic Missile,Passenger Aircraft,Quadcopter,Medium,9318.96,881.36,417.2,238.26,0.15,1,Ballistic Missile
Short-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,Low,15858.57,592.95,220.29,287.33,0.19,1,Cruise Missile
Long-Range,Passive,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Low,2035.63,1445.78,94.51,84.58,0.16,1,Passenger Aircraft
Short-Range,Active,Ballistic Missile,Fighter Jet,Quadcopter,Low,18723.56,811.34,461.28,125.12,1.0,1,Fighter Jet
Long-Range,Hybrid,Anti-Air Missile,Bombers,Quadcopter,Low,4000.91,730.6,53.5,206.34,0.48,1,Quadcopter
Short-Range,Hybrid,Ballistic Missile,Fighter Jet,Hybrid Drone,Low,3352.94,746.61,173.34,339.97,0.56,1,Fighter Jet
Medium-Range,Active,Cruise Missile,Passenger Aircraft,Fixed-Wing,Low,9888.31,1467.42,269.15,266.99,0.27,1,Fixed-Wing
Short-Range,Active,Ballistic Missile,Helicopter,Hybrid Drone,High,6383.81,1427.72,130.62,66.94,0.42,1,Ballistic Missile
Medium-Range,Active,Anti-Air Missile,Bombers,Fixed-Wing,Medium,1968.78,769.86,224.19,77.96,0.19,1,Anti-Air Missile
Long-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,13860.2,813.55,167.49,41.62,0.97,1,Passenger Aircraft
Medium-Range,Active,Anti-Air Missile,Fighter Jet,Fixed-Wing,Low,15253.51,1466.74,257.94,218.82,0.64,1,Fighter Jet
Medium-Range,Active,Surface-to-Air Missile,Fighter Jet,Fixed-Wing,Medium,9277.3,300.14,220.47,330.76,0.67,1,Fighter Jet
Short-Range,Hybrid,Surface-to-Air Missile,Drones,Quadcopter,Medium,16343.36,1294.6,422.08,35.36,0.5,1,Quadcopter
Long-Range,Hybrid,Ballistic Missile,Fighter Jet,Quadcopter,Low,4258.54,1403.57,129.87,180.21,0.85,0,None
Short-Range,Active,Ballistic Missile,Passenger Aircraft,Fixed-Wing,High,14552.68,1302.79,419.2,347.42,0.98,1,Ballistic Missile
Medium-Range,Passive,Ballistic Missile,Passenger Aircraft,Hybrid Drone,High,4161.98,1435.42,404.39,103.98,0.23,1,Ballistic Missile
Medium-Range,Hybrid,Ballistic Missile,Drones,Hybrid Drone,Medium,5057.26,482.97,464.87,244.44,0.65,1,Drones
Long-Range,Passive,Anti-Air Missile,Drones,Hybrid Drone,Medium,3188.87,1480.32,175.75,326.26,0.17,1,Hybrid Drone
Long-Range,Hybrid,Cruise Missile,Passenger Aircraft,Quadcopter,High,7631.29,1199.88,321.19,201.03,0.25,1,Cruise Missile
Short-Range,Hybrid,Cruise Missile,Helicopter,Hybrid Drone,Medium,2572.78,278.79,395.7,113.38,0.32,1,Hybrid Drone
Short-Range,Active,Cruise Missile,Fighter Jet,Fixed-Wing,Medium,15755.54,381.14,69.62,72.8,0.9,1,Fighter Jet
Short-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,Low,16486.92,1152.14,402.75,222.3,0.77,1,Fixed-Wing
Long-Range,Passive,Anti-Air Missile,Drones,Fixed-Wing,Low,5613.79,1185.8,438.25,289.58,0.34,1,Fixed-Wing
Medium-Range,Passive,Ballistic Missile,Passenger Aircraft,Quadcopter,High,5348.22,909.71,60.29,302.02,0.94,1,Ballistic Missile
Long-Range,Passive,Surface-to-Air Missile,Helicopter,Quadcopter,High,14472.7,717.15,324.86,97.2,0.22,1,Helicopter
Medium-Range,Active,Surface-to-Air Missile,Helicopter,Quadcopter,Low,12883.47,435.49,248.82,203.84,0.81,1,Quadcopter
Medium-Range,Active,Ballistic Missile,Passenger Aircraft,Quadcopter,High,11984.84,447.19,425.01,225.28,0.9,1,Ballistic Missile
Medium-Range,Passive,Surface-to-Air Missile,Helicopter,Fixed-Wing,High,12403.13,828.16,405.93,253.72,0.68,1,Surface-to-Air Missile
Long-Range,Hybrid,Ballistic Missile,Helicopter,Quadcopter,Medium,6681.27,1161.45,152.02,35.08,0.46,1,Helicopter
Long-Range,Passive,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,Medium,8915.58,227.64,315.4,32.02,0.62,1,Passenger Aircraft
Short-Range,Active,Ballistic Missile,Helicopter,Quadcopter,High,8859.39,907.52,325.47,301.63,0.41,1,Ballistic Missile
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Fixed-Wing,Low,4734.55,475.99,459.87,142.59,0.26,1,Fixed-Wing
Short-Range,Passive,Surface-to-Air Missile,Helicopter,Quadcopter,Medium,6544.41,593.71,96.76,342.19,0.38,1,Surface-to-Air Missile
Medium-Range,Passive,Anti-Air Missile,Drones,Fixed-Wing,Medium,17126.0,526.66,297.43,237.61,0.42,1,Fixed-Wing
Long-Range,Active,Cruise Missile,Passenger Aircraft,Quadcopter,Medium,569.17,1246.23,473.78,328.07,0.78,0,None
Long-Range,Hybrid,Cruise Missile,Fighter Jet,Hybrid Drone,Medium,2242.27,1405.71,221.64,218.94,0.66,0,None
Long-Range,Passive,Anti-Air Missile,Fighter Jet,Hybrid Drone,Low,3588.91,1392.14,330.49,229.73,1.0,0,None
Long-Range,Active,Cruise Missile,Passenger Aircraft,Hybrid Drone,Medium,5602.08,730.08,319.6,48.26,0.27,0,None
Short-Range,Passive,Cruise Missile,Helicopter,Quadcopter,High,9706.01,890.2,81.65,11.16,0.94,0,None
Long-Range,Active,Cruise Missile,Bombers,Hybrid Drone,High,4026.68,1151.72,275.59,169.2,0.7,1,Hybrid Drone
Long-Range,Hybrid,Anti-Air Missile,Fighter Jet,Hybrid Drone,Medium,10941.1,202.13,279.06,292.91,0.31,1,Fighter Jet
Medium-Range,Hybrid,Anti-Air Missile,Bombers,Fixed-Wing,Medium,1149.86,795.55,422.63,359.97,0.88,1,Anti-Air Missile
Medium-Range,Passive,Anti-Air Missile,Fighter Jet,Quadcopter,Medium,11334.74,1040.14,342.01,328.39,0.55,0,None
Short-Range,Active,Ballistic Missile,Helicopter,Quadcopter,Low,5379.98,922.86,310.96,254.97,0.13,1,Helicopter
Long-Range,Hybrid,Cruise Missile,Helicopter,Hybrid Drone,Medium,8752.79,741.55,334.28,243.47,0.09,1,Cruise Missile
Medium-Range,Hybrid,Ballistic Missile,Helicopter,Fixed-Wing,High,12686.96,430.22,445.11,92.47,0.88,1,Helicopter
Medium-Range,Active,Cruise Missile,Fighter Jet,Fixed-Wing,High,17198.6,616.49,294.27,139.4,0.3,1,Cruise Missile
Long-Range,Active,Surface-to-Air Missile,Passenger Aircraft,Fixed-Wing,High,16679.8,299.47,275.96,359.24,0.08,1,Fixed-Wing
Medium-Range,Hybrid,Surface-to-Air Missile,Bombers,Fixed-Wing,Medium,18412.87,416.78,267.48,36.83,0.92,1,Bombers
Medium-Range,Passive,Cruise Missile,Fighter Jet,Fixed-Wing,Medium,8539.51,1001.99,248.06,195.34,0.71,1,Cruise Missile
Short-Range,Hybrid,Ballistic Missile,Fighter Jet,Hybrid Drone,High,14083.41,1157.76,238.85,209.22,0.24,1,Fighter Jet
Short-Range,Active,Cruise Missile,Bombers,Quadcopter,Medium,1183.66,766.95,188.43,133.54,0.21,1,Cruise Missile
Short-Range,Passive,Cruise Missile,Passenger Aircraft,Fixed-Wing,High,17764.25,454.88,362.63,238.83,0.29,1,Cruise Missile
Short-Range,Hybrid,Cruise Missile,Passenger Aircraft,Fixed-Wing,Medium,10197.11,1446.61,463.39,31.24,0.83,1,Fixed-Wing
Long-Range,Active,Ballistic Missile,Helicopter,Quadcopter,High,12092.93,516.26,65.88,16.1,0.17,1,Helicopter
Long-Range,Passive,Ballistic Missile,Fighter Jet,Fixed-Wing,High,8020.92,385.34,411.12,345.53,0.94,0,None
Medium-Range,Active,Cruise Missile,Helicopter,Fixed-Wing,Low,14172.87,1450.62,428.49,348.65,0.63,0,None
Medium-Range,Hybrid,Ballistic Missile,Bombers,Fixed-Wing,High,14272.95,1487.06,127.32,242.69,0.73,1,Ballistic Missile
Short-Range,Hybrid,Cruise Missile,Drones,Hybrid Drone,High,12781.94,1321.87,353.34,117.89,0.29,1,Hybrid Drone
Medium-Range,Passive,Ballistic Missile,Drones,Quadcopter,Low,8900.04,1330.03,194.17,265.89,0.91,1,Ballistic Missile
Short-Range,Hybrid,Ballistic Missile,Helicopter,Fixed-Wing,High,8956.09,1138.07,113.97,39.11,0.38,0,None
Long-Range,Active,Anti-Air Missile,Drones,Quadcopter,High,6626.49,1158.31,139.63,19.48,0.65,0,None
Short-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Low,8250.0,969.42,212.36,110.16,0.51,1,Passenger Aircraft
Long-Range,Active,Surface-to-Air Missile,Bombers,Fixed-Wing,High,1395.25,294.72,99.96,321.61,0.04,1,Surface-to-Air Missile
Medium-Range,Passive,Cruise Missile,Passenger Aircraft,Quadcopter,Medium,13997.74,908.74,128.96,71.52,0.96,1,Quadcopter
Medium-Range,Passive,Surface-to-Air Missile,Helicopter,Quadcopter,High,16212.79,471.44,240.87,249.78,0.99,1,Surface-to-Air Missile
Medium-Range,Hybrid,Surface-to-Air Missile,Helicopter,Fixed-Wing,Medium,9817.06,1214.81,162.45,34.78,0.35,0,None
Short-Range,Hybrid,Ballistic Missile,Bombers,Fixed-Wing,Medium,7415.34,1154.53,456.5,88.9,0.55,1,Ballistic Missile
Short-Range,Hybrid,Anti-Air Missile,Passenger Aircraft,Quadcopter,Low,3595.24,1378.38,458.28,34.26,0.11,0,None
Medium-Range,Hybrid,Anti-Air Missile,Helicopter,Quadcopter,Low,3592.33,1446.46,482.08,222.67,0.61,0,None
Short-Range,Passive,Cruise Missile,Helicopter,Fixed-Wing,Low,15511.32,1488.22,460.0,157.5,0.18,1,Fixed-Wing
Long-Range,Hybrid,Surface-to-Air Missile,Fighter Jet,Quadcopter,Medium,3679.66,1440.0,318.91,281.09,0.53,1,Fighter Jet
Long-Range,Passive,Ballistic Missile,Helicopter,Quadcopter,Medium,16303.64,531.73,124.27,263.94,0.09,1,Quadcopter
Short-Range,Hybrid,Anti-Air Missile,Helicopter,Fixed-Wing,Low,14274.41,1424.33,102.49,132.44,0.79,0,None
Long-Range,Hybrid,Ballistic Missile,Fighter Jet,Fixed-Wing,Low,9979.49,901.69,371.8,133.42,0.39,1,Ballistic Missile
Long-Range,Hybrid,Cruise Missile,Passenger Aircraft,Quadcopter,Low,4686.68,237.98,437.09,26.39,0.11,1,Quadcopter
Long-Range,Hybrid,Anti-Air Missile,Helicopter,Hybrid Drone,Low,18150.49,494.38,337.64,144.53,0.33,1,Hybrid Drone
Short-Range,Passive,Anti-Air Missile,Fighter Jet,Hybrid Drone,High,2483.76,1401.07,301.78,216.21,0.23,1,Fighter Jet
Short-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Hybrid Drone,Medium,12063.03,1006.95,225.83,198.38,0.45,0,None
Medium-Range,Hybrid,Anti-Air Missile,Helicopter,Hybrid Drone,Medium,3925.24,483.85,417.01,254.78,0.55,1,Helicopter
Short-Range,Hybrid,Cruise Missile,Drones,Hybrid Drone,Medium,8239.41,465.7,338.6,39.86,0.14,1,Drones
Short-Range,Hybrid,Anti-Air Missile,Bombers,Hybrid Drone,Low,11978.46,430.94,318.43,220.61,0.89,0,None
Short-Range,Hybrid,Anti-Air Missile,Helicopter,Fixed-Wing,Low,19753.44,902.23,303.29,170.96,0.22,0,None
Long-Range,Passive,Surface-to-Air Missile,Bombers,Hybrid Drone,Medium,6844.45,1265.1,346.87,5.06,0.06,1,Hybrid Drone
Short-Range,Active,Cruise Missile,Helicopter,Hybrid Drone,High,14098.98,1048.13,497.26,133.8,0.65,0,None
Long-Range,Hybrid,Surface-to-Air Missile,Bombers,Fixed-Wing,High,14854.62,936.77,189.74,254.7,0.69,0,None
Short-Range,Hybrid,Cruise Missile,Bombers,Fixed-Wing,Low,11629.43,572.25,56.13,308.2,0.09,1,Fixed-Wing
Medium-Range,Active,Ballistic Missile,Fighter Jet,Quadcopter,Low,4257.17,813.98,355.13,232.53,0.16,1,Quadcopter
Short-Range,Hybrid,Cruise Missile,Drones,Fixed-Wing,Medium,11441.43,1210.44,341.44,239.44,0.43,1,Drones
Long-Range,Hybrid,Anti-Air Missile,Bombers,Hybrid Drone,Low,16492.72,784.8,474.95,273.34,0.91,0,None
Long-Range,Hybrid,Anti-Air Missile,Drones,Quadcopter,High,13645.52,304.55,283.52,100.28,0.04,1,Drones
Long-Range,Passive,Anti-Air Missile,Drones,Quadcopter,High,12578.78,1098.11,103.16,316.23,0.52,1,Quadcopter
Long-Range,Hybrid,Anti-Air Missile,Bombers,Quadcopter,Low,19194.68,1311.01,201.55,145.22,0.07,1,Bombers
Long-Range,Passive,Ballistic Missile,Fighter Jet,Fixed-Wing,High,8192.03,1222.03,347.95,184.56,0.95,1,Fighter Jet
Long-Range,Passive,Cruise Missile,Bombers,Fixed-Wing,High,7686.03,909.4,256.02,1.91,0.86,1,Bombers
Short-Range,Passive,Cruise Missile,Drones,Fixed-Wing,High,16707.33,1136.79,90.32,177.48,0.73,1,Cruise Missile
Short-Range,Active,Anti-Air Missile,Passenger Aircraft,Fixed-Wing,High,18831.16,976.19,361.16,315.76,0.67,1,Fixed-Wing
Medium-Range,Active,Surface-to-Air Missile,Helicopter,Quadcopter,High,8126.46,1120.95,250.95,97.28,0.01,1,Surface-to-Air Missile
Medium-Range,Passive,Ballistic Missile,Fighter Jet,Hybrid Drone,Low,4598.5,647.53,257.22,243.97,0.69,1,Ballistic Missile
Medium-Range,Active,Ballistic Missile,Drones,Hybrid Drone,High,10843.24,1487.98,285.73,231.17,0.69,1,Hybrid Drone
Medium-Range,Active,Anti-Air Missile,Fighter Jet,Fixed-Wing,Low,4944.13,1247.85,395.96,198.71,0.26,0,None
Medium-Range,Hybrid,Ballistic Missile,Passenger Aircraft,Quadcopter,Medium,15469.54,644.77,452.73,48.72,0.73,1,Ballistic Missile
